keyword;sentiment
+;positive
above;positive
accumulate;positive
accumulated;positive
accumulating;positive
accumulation;positive
acquire;positive
acquired;positive
acquires;positive
acquiring;positive
acquisition;positive
acquisitions;positive
add;positive
added;positive
adding;positive
advantage;positive
agreement;positive
agreements;positive
all aboard;positive
all in;positive
amazing;positive
amen;positive
appreciate;positive
appreciated;positive
appreciates;positive
appreciation;positive
approval;positive
approvals;positive
approve;positive
approved;positive
approves;positive
aquire;positive
aquisition;positive
arranged;positive
arrangement;positive
ascending;positive
ascent;positive
attractive;positive
average down;positive
averaged down;positive
averaging down;positive
avg down;positive
award;positive
awarded;positive
awards;positive
awesome;positive
baby go;positive
bagger;positive
bargain;positive
bargaining;positive
bargains;positive
basher;positive
bashers;positive
bashing;positive
be north;positive
bear trap;positive
bear traps;positive
bears;positive
beast;positive
beast mode;positive
beat;positive
beat earning;positive
beat earnings;positive
beat eps;positive
beat estimates;positive
beaten;positive
beats;positive
beats earnings;positive
beats estimates;positive
beautiful;positive
beautifully;positive
beauty;positive
believe in;positive
beneficial;positive
benefit;positive
benefits;positive
best;positive
big day;positive
big deal;positive
big move;positive
big news;positive
big pop;positive
big run;positive
blast;positive
blasted;positive
blasting;positive
blastoff;positive
blasts;positive
blessed;positive
blow out;positive
blowout;positive
bonus;positive
boom;positive
booming;positive
booom;positive
boost;positive
boosted;positive
boosting;positive
boosts;positive
booyah;positive
bottomed;positive
bottomed-out;positive
bottoming;positive
bought;positive
bounce back;positive
bounce off;positive
bounced back;positive
bounced off;positive
bounces back;positive
bounces off;positive
bouncing back;positive
bouncing off;positive
break above;positive
break higher;positive
break out;positive
break over;positive
break resistance;positive
break through;positive
break thru;positive
break-out;positive
breaking above;positive
breaking higher;positive
breaking out;positive
breaking over;positive
breaking resistance;positive
breaking up;positive
breakout;positive
breakouts;positive
breaks above;positive
breaks out;positive
breaks resistance;positive
breaks up;positive
breakthrough;positive
breakthroughs;positive
bright;positive
brighter;positive
brilliant;positive
broke out;positive
bull flag;positive
bull run;positive
bullish;positive
bullish engulfing;positive
bullish flag;positive
bullish trend;positive
buy;positive
buyback;positive
buybacks;positive
buying;positive
buying back;positive
buyout;positive
buys;positive
bye shorts;positive
call option;positive
call options;positive
calls;positive
calm;positive
cashtag climbing;positive
cashtag holding;positive
cashtag in;positive
cashtag rocking;positive
cashtag rocks;positive
catalyst;positive
catalysts;positive
celebrate;positive
celebrating;positive
celebration;positive
cheap;positive
cheapest;positive
cheers;positive
clearance;positive
cleared;positive
clearing;positive
clears;positive
climb;positive
climbed;positive
climbing;positive
climbs;positive
coil;positive
coiled;positive
coiling;positive
collaboration;positive
come in;positive
come on;positive
comeback;positive
coming in;positive
coming on;positive
confident;positive
congrats;positive
congratulations;positive
conservative;positive
consistent;positive
consolidate;positive
consolidated;positive
consolidates;positive
consolidating;positive
consolidation;positive
cool;positive
crises;positive
cup handle;positive
cure;positive
cured;positive
cures;positive
curing;positive
cutting edge;positive
dawn;positive
deal;positive
dealing;positive
deals;positive
development;positive
developments;positive
dip;positive
dipped;positive
dips;positive
discount;positive
discounted;positive
discounting;positive
discounts;positive
do it;positive
double bottom;positive
doubled;positive
doubles;positive
doubling;positive
earning beat;positive
earnings beat;positive
earnings beats;positive
effective;positive
efficacy;positive
efficiency;positive
efficient;positive
emojipos;positive
eod run;positive
eps beat;positive
exceed;positive
exceeded;positive
exceeds;positive
excellent;positive
excited;positive
exciting;positive
expand;positive
expanded;positive
expanding;positive
expands;positive
expansion;positive
expansions;positive
explode;positive
exploded;positive
explodes;positive
exploding;positive
explosion;positive
explosive;positive
fabulous;positive
fantastic;positive
favorable;positive
favorite;positive
favourable;positive
favourite;positive
fine;positive
fingers crossed;positive
fireworks;positive
fly;positive
flying;positive
fuel;positive
fueling;positive
fuels;positive
gainer;positive
gainers;positive
gaining;positive
get better;positive
get in;positive
get into;positive
get over;positive
getting over;positive
gift;positive
gifts;positive
go baby;positive
go go;positive
go higher;positive
go north;positive
go over;positive
gogo;positive
going higher;positive
going north;positive
goo;positive
good;positive
gooo;positive
got in;positive
got into;positive
grant;positive
granted;positive
great;positive
great volume;positive
greatly;positive
green;positive
grew;positive
grow;positive
growing;positive
grown;positive
grows;positive
hang in;positive
hang on;positive
happy;positive
hater;positive
haters;positive
head north;positive
headed north;positive
heading north;positive
heading up;positive
held;positive
higher;positive
hod;positive
hods;positive
hold;positive
hold hold;positive
hold strong;positive
holding;positive
holdings;positive
holds;positive
hopefully;positive
huge upside;positive
impressive;positive
improve;positive
improved;positive
improvement;positive
improves;positive
improving;positive
increase;positive
increased;positive
increases;positive
increasing;positive
incredible;positive
insider buying;positive
interesting;positive
jump;positive
jumped;positive
jumping;positive
jumps;positive
kaboom;positive
launch;positive
launched;positive
launches;positive
launching;positive
leap;positive
leaps;positive
lets go;positive
lets goo;positive
lets gooo;positive
lift;positive
lift off;positive
lifted;positive
lifting;positive
liftoff;positive
lifts;positive
liking;positive
load;positive
loaded;positive
loading;positive
loads;positive
long;positive
long setup;positive
long strong;positive
looking long;positive
love;positive
lovely;positive
loves;positive
loving;positive
low price;positive
low risk;positive
luv;positive
maintain long;positive
merger;positive
mergers;positive
merging;positive
milestone;positive
milestones;positive
monster;positive
monsters;positive
move north;positive
moving nicely;positive
moving north;positive
negtag_bad;positive
negtag_brainer;positive
negtag_complain;positive
negtag_concerned;positive
negtag_debt;positive
negtag_hurt;positive
negtag_miss;positive
negtag_panic;positive
negtag_problem;positive
negtag_pumping;positive
negtag_question;positive
negtag_regret;positive
negtag_resistance;positive
negtag_sell;positive
negtag_sellers;positive
negtag_selling;positive
negtag_sold;positive
nhod;positive
nice;positive
nice beat;positive
nice bullish;positive
nice recovery;positive
